(Team) MLB Stadium,"City, State",City Elevation (FT),AVG Temp (F),Humidity (Percent),Wind (MPH),Wind Direction
(ARI) Chase Field,"Phoenix, AZ",1100,99,30,5,Outward
(ATL) Truist Park,"Atlanta, GA",304,82,67,7,Crosswind
(BAL) Camden Yards,"Baltimore, MD",20,87,67,8,Outward
(BOS) Fenway Park,"Boston, MA",20,87,63,5,Outward
(CHC) Wrigley Field,"Chicago, IL",600,80,60,9,Inward
(CHW) Guaranteed Rate Field,"Chicago, IL",594,83,70,12,Outward
(CIN) Great American Ballpark,"Cincinnati, OH",489,86,75,5,Outward
(CLE) Progressive Field,"Cleveland, OH",600,80,55,8,Outward
(COL) Coors Field,"Denver, CO",5200,88,31,8,Outward
(DET) Comerica Park,"Detroit, MI",600,83,68,10,Crosswind
(HOU) Minute Maid Park,"Houston, TX",40,90,80,6,Neutral
(KC) Kauffman Stadium,"Kansas City, MO",900,88,70,10,Crosswind
(LAA) Angel Stadium,"Anaheim, CA",155,71,65,7,Crosswind
(LAD) Dodgers Stadium,"Los Angeles, CA",502,85,50,6,Outward
(MIA) LoanDepot Park,"Miami, FL",20,85,80,8,Inward
(MIL) America Family Field,"Milwaukee, WI",597,80,72,10,Crosswind
(MIN) Target Field,"Minneapolis, MN",840,80,65,10,Crosswind
(NYM) City Field,"New York, NY",46,85,65,6,Outward
(NYY) Yankee Stadium,"New York, NY",55,85,68,3,Outward
(PHI) Citizens Bank Park,"Philadelphia, PA",30,86,67,9,Outward
(PIT) PNC Park,"Pittsburgh, PA",700,84,70,7,Crosswind
(OAK) Oakland Coliseum ,"Oakland, CA",75,75,71,10,Crosswind
(SD) Petco Park,"San Diego, CA",16,72,74,6,Crosswind
(SF) Oracle Park,"San Francisco, CA",52,65,19,10,Inward
(SEA) T-Mobile Park,"Seattle, WA",10,63,66,7,Crosswind
(STL) Busch Stadium,"St. Louis, MO",436,88,67,5,Inward
(TB) Tropicana Field,"St. Petersburg, FL",32,87,75,7,Inward
(TEX) Globe Life Stadium,"Arlington, TX",278,96,57,8,Crosswind
(TOR) Rogers Centre,"Toronto, ON",251,75,65,8,Crosswind
(WAS) Nationals Park,"Washington, DC",19,90,72,8,Outward
