(Team) MLB Stadium,2020,2021,2022,2023,2024
(ARI) Chase Field,94,86,82,79,92
(ATL) Truist Park,95,107,102,119,88
(BAL) Camden Yards,95,139,82,91,104
(BOS) Fenway Park,96,94,108,92,90
(CHC) Wrigley Field,91,124,90,105,85
(CHW) Guaranteed Rate Field,114,114,109,98,93
(CIN) Great American Ballpark,154,130,131,127,124
(CLE) Progressive Field,90,110,87,67,106
(COL) Coors Field,100,105,121,103,105
(DET) Comerica Park,97,72,74,90,92
(HOU) Minute Maid Park,81,99,112,92,116
(KC) Kauffman Stadium,92,76,80,95,82
(LAA) Angel Stadium,119,107,118,115,107
(LAD) Dodger Stadium,128,130,118,122,121
(MIA) LoanDepot Park,86,78,91,87,95
(MIL) American Family Field,108,96,121,107,111
(MIN) Target Field,86,110,97,107,113
(NYM) Citi Field,116,92,85,104,108
(NYY) Yankee Stadium,124,110,113,123,122
(PHI) Citizens Bank Park,117,104,113,114,114
(PIT) PNC Park,89,78,92,71,90
(OAK) Oakland Coliseum,83,86,76,88,82
(SD) Petco Park,112,94,95,89,123
(SF) Oracle Park,97,85,74,89,72
(SEA) T-Mobile Park,100,96,108,94,89
(STL) Busch Stadium,90,77,92,98,83
(TB) Tropicana Field,82,83,91,103,99
(TEX) Globe Life Field,94,96,113,133,105
(TOR) Rogers Centre,100,101,117,95,100
(WAS) Nationals Park,93,111,113,98,93
